GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
homework6,edu.postech.csed232.event,ActivationEvent,0,6,0,0,0,1,0,1,0,1
homework6,edu.postech.csed232.event,NumberEvent,0,9,0,0,0,1,0,1,0,1
homework6,edu.postech.csed232.event,MessageEvent,0,6,0,0,0,1,0,1,0,1
homework6,edu.postech.csed232.view,GameUI,293,0,18,0,59,0,23,0,14,0
homework6,edu.postech.csed232.view,MessageUI,0,18,0,0,0,5,0,1,0,1
homework6,edu.postech.csed232.view,GameUI.new FocusAdapter() {...},19,0,0,0,4,0,2,0,2,0
homework6,edu.postech.csed232.view,CellUI,14,44,1,3,5,15,2,5,1,4
homework6,edu.postech.csed232.control,MessageService,12,83,0,8,4,23,2,11,2,7
homework6,edu.postech.csed232.control,MessageType,0,78,0,2,0,13,0,4,0,3
homework6,edu.postech.csed232.control,CellActivationController,0,49,1,5,0,12,1,5,0,3
homework6,edu.postech.csed232.control,MessageUIController,0,26,0,2,0,7,0,3,0,2
homework6,edu.postech.csed232.control,CellInputDocument,12,66,0,12,4,18,1,9,1,3
homework6,edu.postech.csed232.model,Cell,0,164,0,22,0,38,0,20,0,9
homework6,edu.postech.csed232.model,Board,0,268,0,36,0,39,0,20,0,2
homework6,edu.postech.csed232.model,Group,0,85,0,14,0,23,0,11,0,4
homework6,edu.postech.csed232.base,Subject,0,36,1,3,0,8,1,4,0,3
homework6,edu.postech.csed232.base,GameConstants,7,21,0,0,2,4,1,1,1,1
homework6,edu.postech.csed232.base,GameInstanceFactory,3,408,0,0,1,11,1,3,1,3
